Timestamp,Building,Temperature,Humidity,EnergyUsage
2023-01-01 00:00,BuildingA,22.5,45,120
2023-01-01 01:00,BuildingA,22.0,46,118
2023-01-01 02:00,BuildingA,21.8,47,117
2023-01-01 03:00,BuildingA,21.6,48,116
2023-01-01 04:00,BuildingA,21.4,49,115
2023-01-01 05:00,BuildingA,21.3,50,114
2023-01-01 06:00,BuildingA,21.5,51,116
2023-01-01 07:00,BuildingA,22.0,52,119
2023-01-01 08:00,BuildingA,22.8,53,125
2023-01-01 09:00,BuildingA,23.5,54,132
2023-01-01 10:00,BuildingA,24.0,55,138
2023-01-01 11:00,BuildingA,24.3,56,142
2023-01-01 12:00,BuildingA,24.5,55,145
2023-01-01 13:00,BuildingA,24.2,54,141
2023-01-01 14:00,BuildingA,23.8,53,137
2023-01-01 15:00,BuildingA,23.2,52,132
2023-01-01 16:00,BuildingA,22.7,51,128
2023-01-01 17:00,BuildingA,22.4,50,125
2023-01-01 18:00,BuildingA,22.0,49,122
2023-01-01 19:00,BuildingA,21.8,48,120
2023-01-01 20:00,BuildingA,21.7,47,119
2023-01-01 21:00,BuildingA,21.6,46,118
2023-01-01 22:00,BuildingA,21.5,45,117
2023-01-01 23:00,BuildingA,21.4,44,116
2023-01-01 00:00,BuildingB,23.0,44,130
2023-01-01 01:00,BuildingB,22.7,45,128
2023-01-01 02:00,BuildingB,22.5,46,126
2023-01-01 03:00,BuildingB,22.3,47,125
2023-01-01 04:00,BuildingB,22.1,48,124
2023-01-01 05:00,BuildingB,22.0,49,123
